Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001475,Male,Yes,0,Graduate,Yes,3188,2286,17033,360,,Rural,Y
LP001542,Female,Yes,0,Graduate,No,2262,0,,480,0,Semiurban,Y
LP001573,Male,Yes,0,Not Graduate,No,4523,1350,22289,360,1,Urban,Y
LP001655,Female,No,0,Graduate,No,12500,0,11404,360,0,Urban,Y
LP001855,Male,Yes,2,Graduate,No,4855,0,11261,360,1,Rural,Y
LP002064,Male,No,0,Graduate,No,4083,0,96,360,1,Urban,N
LP002107,Male,Yes,3+,Not Graduate,No,2855,542,90,360,1,Urban,Y
LP002176,Male,No,0,Graduate,No,5708,0,150,360,1,Rural,Y
LP002383,Male,Yes,3+,Graduate,No,3242,437,142,480,0,Urban,Y
LP002402,Male,Yes,0,Graduate,No,3333,4288,160,360,1,Urban,N
LP002553,,No,0,Graduate,No,29167,0,185,360,1,Semiurban,Y
LP002712,Male,No,2,Not Graduate,No,2733,1083,180,360,,Semiurban,N
LP002721,Male,Yes,2,Graduate,Yes,7500,0,183,360,1,Rural,Y
LP002735,Male,Yes,2,Not Graduate,No,3859,0,121,360,1,Rural,N
LP002744,Male,Yes,1,Graduate,No,6825,0,162,360,1,Rural,N
LP002745,Male,Yes,0,Graduate,No,3708,4700,132,360,1,Semiurban,Y
LP002746,Male,No,0,Graduate,No,5314,0,147,360,1,Urban,Y
LP002747,Female,No,3+,Graduate,No,2366,5272,153,360,0,Rural,Y
LP002754,Male,No,,Graduate,No,2066,2108,104,84,1,Urban,Y
LP002759,Male,Yes,2,Graduate,No,5000,0,149,360,1,Rural,Y
LP002760,Female,No,0,Graduate,No,3767,0,134,300,1,Urban,N
LP002766,Female,Yes,0,Graduate,No,7859,879,165,180,1,Semiurban,Y
LP002769,Female,Yes,0,Graduate,No,4283,0,120,360,1,Rural,Y
LP002774,Male,Yes,0,Not Graduate,No,1700,2900,67,360,0,Urban,Y
LP002775,,No,0,Not Graduate,No,4768,0,125,360,1,Rural,Y
LP002856,Male,Yes,0,Graduate,No,2292,1558,119,360,1,Urban,Y
LP002857,Male,Yes,1,Graduate,Yes,2360,3355,87,240,1,Rural,N
LP002890,Male,Yes,2,Not Graduate,No,3418,1380,135,360,1,Urban,Y
LP002901,Male,No,0,Graduate,No,2283,15000,106,360,,Rural,N
LP002920,Male,Yes,0,Graduate,No,5119,3769,120,360,1,Rural,N
LP002971,Male,Yes,3+,Not Graduate,Yes,4009,1777,113,360,1,Urban,Y
LP002712,Male,No,2,Not Graduate,No,2733,1083,180,360,,Semiurban,Y
